TOK,SHOT,TIME,PHASE,PGASA,RGEO,AMIN,KAPPA,SPLASMA,CONFIG,IGRADB,WALMAT,DIVMAT,LIMMAT,EVAP,BT,IP,Q95,NEL,ZEFF,DIVNAME,PL,PLTH,PFLOSS,PRADCORE,DIVCON,FRACNMIN,LHTIME,AUXHEAT,SELEC2024
CMOD,1091021028,0.7182, LH,2.0000,0.67256,0.217786,1.63516,7.24346, SN,1, MO, MO, MO,,5.31236,1041550,3.44117,2.30E+20,1.6881, DIVNOSE,2453440,2453440,0,0, VERTPLT,-1.00E-08,0.7192,IC,1
CMOD,1091021032,0.68516, LH,2.0000,0.672201,0.216344,1.64217,7.21931, SN,1, MO, MO, MO,,5.31843,1045330,3.42547,2.04E+20,1.5027, DIVNOSE,2460930,2460930,0,0, VERTPLT,-1.00E-08,0.68616,IC,1
CMOD,1091022023,0.96293, LH,2.0000,0.67183,0.216946,1.63726,7.2119, SN,1, MO, MO, MO,,5.31857,1128370,3.15429,2.25E+20,1.5376, DIVNOSE,2865720,2865720,0,0, VERTPLT,-1.00E-08,0.96393,IC,1
CMOD,1110114001,1.26014, LH,2.0000,0.674417,0.221012,1.57848,7.23949, SN,1, MO, MO, MO,,5.12731,1026560,3.34909,8.76E+19,2.5121, DIVNOSE,2053410,2053410,0,0, VERTPLT,-1.00E-08,1.26114,IC,0
CMOD,1110114025,0.8796, LH,2.0000,0.674161,0.221773,1.5635,7.22975, SN,1, MO, MO, MO,,5.16021,1035190,3.33579,9.19E+19,1.7243, DIVNOSE,1762270,1762270,0,0, VERTPLT,-1.00E-08,0.8806,IC,0
 CMOD,1160708012,0.64893, LH,2.0000,0.671727,0.220459,1.63652,7.37954, SN,1, MO, MO, MO,,7.6632,910509,5.92183,1.66E+20,0, DIVNOSE,1875480,1875480,0,, VERTPLT,,0.64993,IC,1
 CMOD,1160708012,0.69019, LH,2.0000,0.671592,0.220922,1.63925,7.40119, SN,1, MO, MO, MO,,7.66494,906330,5.95362,1.66E+20,0, DIVNOSE,1864850,1864850,0,, VERTPLT,,0.69119,IC,1
 CMOD,1160708013,0.6335, LH,2.0000,0.672773,0.221423,1.63109,7.40619, SN,1, MO, MO, MO,,7.65074,907878,5.93469,1.58E+20,0, DIVNOSE,1601640,1601640,0,, VERTPLT,,0.6345,IC,1
 CMOD,1160708015,0.64595, LH,2.0000,0.672136,0.221755,1.59548,7.31869, SN,1, MO, MO, MO,,7.66318,904052,5.75076,1.63E+20,0, DIVNOSE,1597100,1597100,0,, VERTPLT,,0.64695,IC,1
 CMOD,1160708016,0.62674, LH,2.0000,0.672691,0.221998,1.58707,7.31236, SN,1, MO, MO, MO,,7.65066,901707,5.67423,1.43E+20,0, DIVNOSE,1459490,1459490,0,, VERTPLT,,0.62774,IC,1
 CMOD,1160708016,1.25456, LH,2.0000,0.672381,0.222652,1.58017,7.32028, SN,1, MO, MO, MO,,7.63783,894876,5.54639,1.61E+20,0, DIVNOSE,1987460,1987460,0,, VERTPLT,,1.25556,IC,1
 CMOD,1160708017,0.62408, LH,2.0000,0.673141,0.222551,1.58367,7.32458, SN,1, MO, MO, MO,,7.6424,898553,5.69555,1.54E+20,0, DIVNOSE,1506780,1506780,0,, VERTPLT,,0.62508,IC,1
 CMOD,1160708018,0.62256, LH,2.0000,0.673205,0.222405,1.58944,7.33553, SN,1, MO, MO, MO,,7.64736,982427,5.25001,1.73E+20,0, DIVNOSE,1498380,1498380,0,, VERTPLT,,0.62356,IC,1
 CMOD,1160708019,0.63625, LH,2.0000,0.672817,0.222155,1.59912,7.34725, SN,1, MO, MO, MO,,7.64851,987261,5.28578,1.81E+20,0, DIVNOSE,1597590,1597590,0,, VERTPLT,,0.63725,IC,1
 CMOD,1160708020,0.74381, LH,2.0000,0.671324,0.220848,1.60846,7.32003, SN,1, MO, MO, MO,,7.65981,1195070,4.39009,2.03E+20,0, DIVNOSE,2689410,2689410,0,, VERTPLT,,0.74481,IC,1
 CMOD,1160708024,0.62585, LH,2.0000,0.672469,0.221705,1.62417,7.39641, SN,1, MO, MO, MO,,7.65196,1169690,4.62208,2.02E+20,0, DIVNOSE,2160860,2160860,0,, VERTPLT,,0.62685,IC,1
 CMOD,1160713011,1.16885, LH,2.0000,0.674534,0.221154,1.55078,7.18228, SN,1, MO, MO, MO,,7.59676,903217,5.27819,1.56E+20,0, DIVNOSE,1513590,1513590,0,, VERTPLT,,1.16985,IC,1
 CMOD,1160715009,0.8274, LH,2.0000,0.671863,0.221781,1.58382,7.28511, SN,1, MO, MO, MO,,7.67306,1187740,4.34538,2.36E+20,0, DIVNOSE,2617260,2617260,0,, VERTPLT,,0.8284,IC,1
 CMOD,1160721015,0.62119, LH,2.0000,0.673304,0.222311,1.61811,7.40502, SN,1, MO, MO, MO,,7.64636,1164610,4.63096,1.96E+20,0, DIVNOSE,2135850,2135850,0,, VERTPLT,,0.62219,IC,1
 CMOD,1160721016,0.63052, LH,2.0000,0.673183,0.222481,1.61264,7.39645, SN,1, MO, MO, MO,,7.65857,1171790,4.57822,1.56E+20,0, DIVNOSE,1892370,1892370,0,, VERTPLT,,0.63152,IC,1
 CMOD,1160721017,0.63092, LH,2.0000,0.673042,0.222437,1.61664,7.40469, SN,1, MO, MO, MO,,7.65245,1173040,4.59215,1.58E+20,0, DIVNOSE,1800630,1800630,0,, VERTPLT,,0.63192,IC,1
 CMOD,1160721018,0.70134, LH,2.0000,0.671652,0.222698,1.608,7.37722, SN,1, MO, MO, MO,,7.66757,1190420,4.50353,1.58E+20,0, DIVNOSE,1723500,1723500,0,, VERTPLT,,0.70234,IC,1
 CMOD,1160721018,0.68521, LH,2.0000,0.671919,0.222926,1.6066,7.3834, SN,1, MO, MO, MO,,7.66283,1187390,4.50074,1.55E+20,0, DIVNOSE,1820130,1820130,0,, VERTPLT,,0.68621,IC,1
 CMOD,1160721019,0.93455, LH,2.0000,0.672485,0.22243,1.55555,7.24262, SN,1, MO, MO, MO,,7.65845,1189970,4.22681,2.05E+20,0, DIVNOSE,2706740,2706740,0,, VERTPLT,,0.93555,IC,1
 CMOD,1160721021,0.67326, LH,2.0000,0.673392,0.224576,1.61489,7.45456, SN,1, MO, MO, MO,,7.65129,1366480,4.07889,1.85E+20,0, DIVNOSE,2350710,2350710,0,, VERTPLT,,0.67426,IC,1
 CMOD,1160721022,0.65279, LH,2.0000,0.673511,0.223475,1.62044,7.43503, SN,1, MO, MO, MO,,7.64479,1327730,4.19148,2.27E+20,0, DIVNOSE,1832510,1832510,0,, VERTPLT,,0.65379,IC,1
 CMOD,1160729008,0.64675, LH,2.0000,0.672656,0.222298,1.63227,7.43009, SN,1, MO, MO, MO,,7.65561,1383640,4.01726,2.48E+20,0, DIVNOSE,2006420,2006420,0,, VERTPLT,,0.64775,IC,1
 CMOD,1160930020,1.02825, LH,2.0000,0.672533,0.220828,1.67699,7.45985, SN,1, MO, MO, MO,,7.61872,1491210,3.83037,2.37E+20,0, DIVNOSE,3197490,3197490,0,, VERTPLT,,1.02925,IC,1
 CMOD,1160930021,1.0059, LH,2.0000,0.67258,0.220757,1.68837,7.48463, SN,1, MO, MO, MO,,7.61581,1687550,3.42755,2.47E+20,0, DIVNOSE,3235900,3235900,0,, VERTPLT,,1.0069,IC,1
